add,AD
adds,ADZ
affable,AFBL
al,AL
apologize,POLZ
app,AP
apps,APS
apt,APT
as,AZ
at,AT
cab,KAB
cabinet,KABT
cad,KAD
cal,KAL
calf,KAF
cap,KAP
caps,KAPS
captain,KAPT
cat,KAT
cats,KATS
chaff,KHAF
chap,KHAP
chapel,KHAPL
chat,KHAT
chats,KHATS
chef,SHEF
cherub,KHERB
chess,KHES
chez,KHEZ
chop,KHOP
chops,KHOPS
chug,KHUG
cobble,KOBL
cod,KOD
compel,KPEL
compelled,KPELD
compress,KPRES
compresses,KPRESZ
cop,KOP
cops,KOPS
cot,KOT
cots,KOTS
cough,KOF
couple,KUPL
coupled,KUPLD
cousin,KUZ
crab,KRAB
craft,KRAFT
crafts,KRAFTS
crap,KRAP
crass,KRAS
crept,KREPT
cress,KRES
crop,KROP
crops,KROPS
crud,KRUD
cub,KUB
cuff,KUF
cuffs,KUFS
cull,KUL
cup,KUP
cups,KUPS
cuss,KUS
cut,KUT
cuts,KUTS
discuss,SKUS
ebb,EB
effort,EFRT
efforts,EFRTS
egg,EG
else,ELS
habit,HABT
habits,HABTS
had,HAD
hag,HAG
half,HAF
happen,HAP
happened,HAPD
has,HAZ
hat,HAT
hats,HATS
head,HED
heads,HEDZ
heft,HEFT
heifer,HEFR
held,HELD
hell,HEL
herald,HERLD
hertz,HERTS
hobble,HOBL
hog,HOG
hop,HOP
hops,HOPS
hot,HOT
hub,HUB
hubble,HUBL
huff,HUF
huffer,HUFR
hug,HUG
hugged,HUGD
hull,HUL
hut,HUT
huts,HUTS
it,T
keg,KEG
kept,KEPT
object,OBT
objects,OBTS
objects,OBS
odd,OD
odds,ODZ
op,OP
opt,OPT
pad,PAD
pads,PADZ
pal,PAL
palate,PALT
pap,PAP
pass,PAS
pat,PAT
pats,PATS
pebble,PEBL
peg,PEG
pegged,PEGD
pelt,PELT
pep,PEP
pet,PET
pets,PETS
pez,PEZ
pod,POD
pods,PODZ
pop,POP
pops,POPS
populate,POPLT
pos,POS
pot,POT
pots,POTS
preface,PREFS
preferable,PREFRBL
pregnant,PREGT
prep,PREP
press,PRES
presses,PRESZ
probably,PROBL
prod,PROD
prods,PRODZ
proffer,PROFR
proffered,PROFRD
profit,PROFT
profits,PROFTS
prop,PROP
props,PROPS
psychological,SKOL
pub,PUB
puff,PUF
puffer,PUFR
pug,PUG
pull,PUL
pulled,PULD
pulls,PULZ
pulse,PULS
pulses,PULSZ
pup,PUP
puppet,PUPT
pus,PUS
put,PUT
puts,PUTS
quell,KWEL
question,KWE
rabbit,RABT
rabbits,RABTS
rabble,RABL
rabid,RABD
rad,RAD
raffle,RAFL
raft,RAFT
rafts,RAFTS
rag,RAG
ragged,RAGD
rap,RAP
rapid,RAPD
rapt,RAPT
rat,RAT
rats,RATS
raz,RAZ
rebel,REBL
recognizing,REGZ
red,RED
reds,REDZ
rep,REP
result,RULT
resulted,RULTD
results,RULTS
ret,RET
rob,ROB
robbed,ROBD
rod,ROD
rods,RODZ
rot,ROT
rots,ROTS
